Park,Ride Name,Is Open,Wait Time,Last Updated
Adventureland,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,True,0,2025-01-23T03:16:27.000Z
Adventureland,Indiana Jones™ Adventure,True,85,2025-01-23T03:16:27.000Z
Adventureland,Jungle Cruise,True,25,2025-01-23T03:16:27.000Z
Adventureland,Walt Disney's Enchanted Tiki Room,True,0,2025-01-23T03:16:27.000Z
Bayou Country,Davy Crockett's Explorer Canoes,False,0,2025-01-23T03:16:27.000Z
Bayou Country,The Many Adventures of Winnie the Pooh,True,5,2025-01-23T03:16:27.000Z
Bayou Country,Tiana's Bayou Adventure,True,45,2025-01-23T03:16:27.000Z
Bayou Country,Tiana's Bayou Adventure Single Rider,True,0,2025-01-23T03:16:27.000Z
Fantasyland,"""it's a small world"" Holiday",False,0,2025-01-23T03:16:27.000Z
Fantasyland,Alice in Wonderland,True,35,2025-01-23T03:16:27.000Z
Fantasyland,Casey Jr. Circus Train,False,0,2025-01-23T03:16:27.000Z
Fantasyland,Dumbo the Flying Elephant,True,30,2025-01-23T03:16:27.000Z
Fantasyland,King Arthur Carrousel,True,10,2025-01-23T03:16:27.000Z
Fantasyland,Mad Tea Party,True,20,2025-01-23T03:16:27.000Z
Fantasyland,Matterhorn Bobsleds,True,40,2025-01-23T03:16:27.000Z
Fantasyland,Meet Disney Princesses at Royal Hall,False,0,2025-01-23T03:16:27.000Z
Fantasyland,Mr. Toad's Wild Ride,False,0,2025-01-23T03:16:27.000Z
Fantasyland,Peter Pan's Flight,True,35,2025-01-23T03:16:27.000Z
Fantasyland,Pinocchio's Daring Journey,True,15,2025-01-23T03:16:27.000Z
Fantasyland,Sleeping Beauty Castle Walkthrough,False,0,2025-01-23T03:16:27.000Z
Fantasyland,Snow White's Enchanted Wish,True,20,2025-01-23T03:16:27.000Z
Fantasyland,Storybook Land Canal Boats,True,20,2025-01-23T03:16:27.000Z
Frontierland,Big Thunder Mountain Railroad,True,50,2025-01-23T03:16:27.000Z
Frontierland,Frontierland Shootin' Exposition,True,0,2025-01-23T03:16:27.000Z
Frontierland,Mark Twain Riverboat,True,10,2025-01-23T03:16:27.000Z
Frontierland,Pirate's Lair on Tom Sawyer Island,False,0,2025-01-23T03:16:27.000Z
Frontierland,Sailing Ship Columbia,False,0,2025-01-23T03:16:27.000Z
Main Street U.S.A,Disneyland Railroad,False,0,2025-01-23T03:16:27.000Z
Main Street U.S.A,Main Street Cinema,True,0,2025-01-23T03:16:27.000Z
Main Street U.S.A,Main Street Vehicles,True,0,2025-01-23T03:16:27.000Z
Main Street U.S.A,The Disney Gallery,False,0,2025-01-23T03:16:27.000Z
Main Street U.S.A,The Disneyland Story presenting Great Moments with Mr. Lincoln,False,0,2025-01-23T03:16:27.000Z
Mickey's Toontown,Chip 'n' Dale's GADGETcoaster,True,30,2025-01-23T03:16:27.000Z
Mickey's Toontown,Donald's Duck Pond,True,0,2025-01-23T03:16:27.000Z
Mickey's Toontown,Goofy's How-to-Play Yard,True,0,2025-01-23T03:16:27.000Z
Mickey's Toontown,Mickey & Minnie's Runaway Railway,False,0,2025-01-23T03:16:27.000Z
Mickey's Toontown,Mickey's House and Meet Mickey Mouse,True,35,2025-01-23T03:16:27.000Z
Mickey's Toontown,Minnie's House,True,0,2025-01-23T03:16:27.000Z
Mickey's Toontown,Roger Rabbit's Car Toon Spin,False,0,2025-01-23T03:16:27.000Z
New Orleans Square,Haunted Mansion,True,65,2025-01-23T03:16:27.000Z
New Orleans Square,Pirates of the Caribbean,True,20,2025-01-23T03:16:27.000Z
Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,True,30,2025-01-23T03:16:27.000Z
Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run Single Rider,True,0,2025-01-23T03:16:27.000Z
Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance,True,40,2025-01-23T03:16:27.000Z
Tomorrowland,Astro Orbitor,True,30,2025-01-23T03:16:27.000Z
Tomorrowland,Autopia,True,15,2025-01-23T03:16:27.000Z
Tomorrowland,Buzz Lightyear Astro Blasters,True,20,2025-01-23T03:16:27.000Z
Tomorrowland,Disneyland Monorail,False,0,2025-01-23T03:16:27.000Z
Tomorrowland,Finding Nemo Submarine Voyage,True,30,2025-01-23T03:16:27.000Z
Tomorrowland,Space Mountain,True,30,2025-01-23T03:16:27.000Z
Tomorrowland,Star Tours - The Adventures Continue,True,10,2025-01-23T03:16:27.000Z
